,asin,reviews,entity
0,B07BKNWVRT,I want a compact computer which can do fast browsing.,"['Computer', 'Compact space']"
1,B07BKNWVRT,A light computer is preferable.,['Computer']
2,B07C89VH3J,I need a fast computer with high performance-cost ratio.,[]
3,B079QZ5DD7,"A computer which can quickly download stuff is which I need. I also need large SSD and RAM to store things. However, I want it to be light and have a small screen. It's better if it has a built-in SD drive.","['Computer', 'Secure Digital', 'Solid-state drive']"
4,B079QZ5DD7,I want a computer with high speed and a tiny power adapter.,['Computer']
5,B079QZ5DD7,I need a fast computer.,['Computer']
6,B079QZ5DD7,"The computer I want should startup fast, cool and quietly. I also want it to be light and have a long battery life. A high performance-cost ratio is also expected.",['Computer']
7,B078WRSHV4,I need a light and fast computer with a high-resolution screen.,['Computer']
8,B078WRSHV4,"I want a good-looking computer with an awesome keyboard. I also want it to have a precise trackpad, NVME slots and great USB-C charging. ","['Computer', 'Computer keyboard', 'NVM Express', 'Touchpad', 'USB Type-C']"
9,B078WRSHV4,I need a light computer.,['Computer']
10,B078WRSHV4,I want a light laptop which can startup fast.,[]
11,B078WRSHV4,A thin and light computer is preferable.,['Computer']
12,B078WRSHV4,A nice packaging and good looking computer would be nice for me.,['Computer']
13,B078WRSHV4,The computer should be light.,['Computer']
14,B078WRSHV4,I want a light computer but it should have a large screen. The keyboard should have nice clickness and the trackpad should be responsive. Hopefully the computer is fast and has tons of ports. The computer would be even better with a long battery life and a high performance-cost ratio.,"['Artillery battery', 'Touchpad', 'Computer keyboard', 'Computer', 'Computer', 'Computer']"
15,B078WRSHV4,"The computer I will be using should be light and have thin edges. It should also have long battery life. Good processor, good RAM and good hard disk should be installed. The computer should also be fast and modulable. I also hope the sound output and the quality of image to be great. The computer should also run quietly.","['Computer', 'Computer', 'Hard disk drive', 'Computer', 'Rechargeable battery']"
16,B07C8H76ST,I will need a functional computer.,['Computer']
17,B07C826G84,"I need a computer that immdiately wakes when I use it. It would be better if it allows others to borrow my computer but not my account. The computer should have a long battery life and can be intergrated with my phone. Hopefully there is no system administration or virus software needed. It would be convenient if it doesn't need a transfer of files. I hope the computer would be secure to use, easy to use and simple to use.","['Computer virus', 'Computer', 'Computer', 'Computer', 'Computer', 'System administrator', 'Artillery battery']"
18,B07C826G84,I want a fast computer with a good shell. The keys should be comfortable and the screen size should be acceptable. A reasonable battery life is also expected. I also want some good ports. Hopefully the computer is speedy and have a reasonable price.,"['Computer', 'Computer']"
19,B0764HW117,I want a high performance-cost ratio computer which can do fast start-up. The computer should be light and have a good fingerprint scanner. A premium typing experience and a professional look are expected. I want the design to be tasteful and minimalist. The keyboard should be easy to type on and I want good precision and gestures from the computer. It would be nice if it is silent when light use.,"['Minimalism', 'Computer', 'Fingerprint', 'Computer', 'Silent film', 'Computer', 'Computer keyboard']"
20,B0764HW117,"I need a computer which has an excellent keyboard and a great screen, but also not too attractive to eyeballs. I would need a good FPS and a high performance-cost ratio.","['Computer keyboard', 'Computer']"
21,B0764HW117,"My computer should be fast and accessible, and should have a good graphic performance.",['Computer']
22,B0764HW117,I want a computer with good screen and fast booting. The FPS rates should be good as well as the wireless card. Hopefully there is a fast WIFI connection and a high performance-cost ratio.,"['Wi-Fi', 'Computer network', 'Wi-Fi']"
23,B0764HW117,The computer I want should have high performance-cost ratio and a normal look.,[]
24,B0764HW117,I need a good functioning fan to be along with my computer. And I hope the battery life would be long enough.,"['Artillery battery', 'Computer']"
25,B0764HW117,I need a powerful computer with solid speakers and good built quality.,['Computer']
26,B0764HW117,I want the computer to run smoothly.,['Computer']
27,B0764HW117,I need the computer to handle games well.,['Computer']
28,B0764HW117,The computer I need is the one which can be opened up and upgraded easily and have a good build quality.,['Computer']
29,B0764HW117,I need a cheap computer with solid build quality and awesome cooling system.,['Computer']
30,B0764HW117,I want a computer with high performance-cost ratio.,[]
31,B0764HW117,A nice cooling stand would be good for my computer.,['Computer']
32,B0764HW117,My desire computer should own a great keyboard and a powerful cooling system. I also expect a good IPS panel.,"['IPS panel', 'Computer', 'Computer keyboard']"
33,B0764HW117,I need a computer that can run my games fine and do editing. I also need it to have a clear screen and a decent battery life. Of course it should have a reasonable price.,"['Computer', 'Artillery battery']"
34,B0764HW117,"I want a computer with great colour and viewing angles. A good screen is also what I wanted, and hopefully its performance-cost ratio is high.",['Computer']
35,B0764HW117,The computer I want should handle my games with ease and run super fast. I need it to be quiet and have a great battery life also.,"['Computer', 'Artillery battery']"
36,B0764HW117,I need a high performance-cost ratio computer.,[]
37,B0764HW117,The computer I need would be the one with strong GPU and hardware. I want it to look professional and have a good fingerprint scanner and trackpad.,"['Graphics processing unit', 'Fingerprint', 'Touchpad', 'Computer']"
38,B0764HW117,I would like to have a computer with long battery life and can run fast and quietly. The keyboard would be better with red backlit. I want it to be lightweight and have a high performance-cost ratio.,"['Rechargeable battery', 'Computer keyboard', 'Computer']"
39,B0764HW117,I want the computer to perform well in games and be perfect for upgraders.,['Computer']
40,B0764HW117,I need a plain notebook without those flashy light but still keep a beautiful design.,['Plain']
41,B0764HW117,I want a computer that stay in my budget.,['Computer']
42,B0764HW117,The computer I need should have a high performance-cost ratio and be solidly constructed. I want to feel premium while using the computer.,[]
43,B0764HW117,The temperature of the computer should be low while I am using it. I need the price to be reasonable and the battery life also.,"['Artillery battery', 'Computer']"
44,B0764HW117,I need a big screen for my computer to make it easy to work.,['Computer']
45,B0764HW117,The computer I want should have excellent thermals and graphics. It would be great if it runs cool and is functioned with great screen and touch sensor. I hope it goes with a high performance-cost ratio.,['Computer']
46,B0764HW117,I need a laptop with good build.,[]
47,B0764HW117,"I need the computer to have a clean resolution and audio. I also want to access the internet in a faster way. I would need the battery life to be long enough, so I could type at night with a LED lit keyboard.","['Rechargeable battery', 'Computer', 'Computer keyboard']"
48,B0764HW117,I want a computer that have great specs and amazing cooling. The SSD should be fast and the battery life should be long.,"['Computer', 'Solid-state drive']"
